AwayTeamAPI,AwayTeamAvgGoals,AwayTeamCreatonShooting,AwayTeamDefencePressure,AwayTeamGoals,AwayTeamOdds,AwayTeamPlaySpeed,GoalDiff,HomeTeamAPI,HomeTeamAvgGoals,HomeTeamCreatonShooting,HomeTeamDefencePressure,HomeTeamGoals,HomeTeamPlaySpeed,HomeTeamsOdds,corner_away_team,corner_home_team,crosses_away_team,crosses_home_team,on_target_shot_away_team,on_target_shot_home_team,possession_away_team,possession_home_team,red_card_away_team,red_card_home_team,yellow_card_away_team,yellow_card_home_team,HomeTeamRatings,AwayTeamRatings,win
7819,1.245283019,40,70,0,2.6025,65,1,9853,1.422680412,60,30,1,65,2.2475,2,6,17,24,1,5,39,61,0,0,1,0,72.40277778,69.62295082,1
7819,1.245283019,40,70,1,2.68875,65,2,8592,1.717171717,70,65,2,55,2.76675,2.119047619,1.481481481,6.976190476,4.604938272,1.833333333,1.567901235,42.68421053,60,0.142857143,0.049382716,1.976190476,1.296296296,73.38983051,69.62295082,1
7819,1.245283019,40,70,2,2.68875,65,2,8592,1.717171717,70,65,1,55,2.76675,2.119047619,1.481481481,6.976190476,4.604938272,1.833333333,1.567901235,42.68421053,60,0.142857143,0.049382716,1.976190476,1.296296296,73.38983051,69.62295082,2
7819,1.245283019,40,70,1,2.68875,65,2,8592,1.717171717,70,65,1,55,2.76675,0,0,0,0,0,0,42.68421053,60,0,0,2,1,73.38983051,69.62295082,0
7819,1.245283019,40,70,3,2.68875,65,2,8592,1.717171717,70,65,2,55,2.76675,6,4,14,16,8,8,35,65,0,0,1,1,73.38983051,69.62295082,2
7819,1.245283019,40,70,1,2.527333333,65,-2,9941,1.177083333,35,30,0,35,2.153,2.119047619,1.3125,6.976190476,3.9875,1.833333333,1.15,42.68421053,51.65,0.142857143,0.05,1.976190476,1.575,71.44117647,69.62295082,2
7819,1.245283019,40,70,0,2.527333333,65,-2,9941,1.177083333,35,30,1,35,2.153,0,0,0,0,0,0,42.68421053,51.65,0,0,3,0,71.44117647,69.62295082,1
7819,1.245283019,40,70,3,2.527333333,65,-2,9941,1.177083333,35,30,3,35,2.153,6,4,10,17,5,6,36,64,0,0,3,2,71.44117647,69.62295082,0
7819,1.245283019,40,70,0,2.626666667,65,4,10249,1.397727273,70,70,0,35,1.958,2.119047619,1.036585366,6.976190476,3.707317073,1.833333333,1.097560976,42.68421053,47.84210526,0.142857143,0.097560976,1.976190476,1.62195122,71.56521739,69.62295082,0
7819,1.245283019,40,70,0,2.626666667,65,4,10249,1.397727273,70,70,3,35,1.958,0,0,0,0,0,0,42.68421053,47.84210526,0,0,2,1,71.56521739,69.62295082,1
